index,outer_fold,inner_fold,p_Thres,C_value,worker
10,2,3,1e-05,1,10
26,2,3,0.0014371429,1,10
42,2,3,0.0028642857,1,10
58,2,3,0.0042914286,1,10
74,2,3,0.0057185714,1,10
90,2,3,0.0071457143,1,10
106,2,3,0.0085728571,1,10
122,2,3,0.01,1,10
138,2,3,1e-05,87,10
154,2,3,0.0014371429,87,10
170,2,3,0.0028642857,87,10
186,2,3,0.0042914286,87,10
202,2,3,0.0057185714,87,10
218,2,3,0.0071457143,87,10
234,2,3,0.0085728571,87,10
250,2,3,0.01,87,10
266,2,3,1e-05,172,10
282,2,3,0.0014371429,172,10
298,2,3,0.0028642857,172,10
314,2,3,0.0042914286,172,10
330,2,3,0.0057185714,172,10
346,2,3,0.0071457143,172,10
362,2,3,0.0085728571,172,10
378,2,3,0.01,172,10
394,2,3,1e-05,258,10
410,2,3,0.0014371429,258,10
426,2,3,0.0028642857,258,10
442,2,3,0.0042914286,258,10
458,2,3,0.0057185714,258,10
474,2,3,0.0071457143,258,10
490,2,3,0.0085728571,258,10
506,2,3,0.01,258,10
522,2,3,1e-05,343,10
538,2,3,0.0014371429,343,10
554,2,3,0.0028642857,343,10
570,2,3,0.0042914286,343,10
586,2,3,0.0057185714,343,10
602,2,3,0.0071457143,343,10
618,2,3,0.0085728571,343,10
634,2,3,0.01,343,10
650,2,3,1e-05,429,10
666,2,3,0.0014371429,429,10
682,2,3,0.0028642857,429,10
698,2,3,0.0042914286,429,10
714,2,3,0.0057185714,429,10
730,2,3,0.0071457143,429,10
746,2,3,0.0085728571,429,10
762,2,3,0.01,429,10
778,2,3,1e-05,514,10
794,2,3,0.0014371429,514,10
810,2,3,0.0028642857,514,10
826,2,3,0.0042914286,514,10
842,2,3,0.0057185714,514,10
858,2,3,0.0071457143,514,10
874,2,3,0.0085728571,514,10
890,2,3,0.01,514,10
906,2,3,1e-05,600,10
922,2,3,0.0014371429,600,10
938,2,3,0.0028642857,600,10
954,2,3,0.0042914286,600,10
970,2,3,0.0057185714,600,10
986,2,3,0.0071457143,600,10
1002,2,3,0.0085728571,600,10
1018,2,3,0.01,600,10
